Fuel Group Hierarchy - Fuel Group,Fuel Type,Year,Final Consumption
Renewables,Bioethanol,2009,23
Renewables,Bioethanol,2010,30
Renewables,Bioethanol,2011,29
Renewables,Bioethanol,2012,29
Renewables,Bioethanol,2013,29
Renewables,Bioethanol,2014,27
Renewables,Bioethanol,2015,30
Renewables,Bioethanol,2016,33
Renewables,Bioethanol,2017,30
Renewables,Bioethanol,2018,27
Renewables,Bioethanol,2019,26
Renewables,Bioethanol,2020,19
Renewables,Bioethanol,2021,20
Renewables,Bioethanol,2022,23
Renewables,Biogas,1990,2
Renewables,Biogas,1991,3
Renewables,Biogas,1992,3
Renewables,Biogas,1993,4
Renewables,Biogas,1994,2
Renewables,Biogas,1995,3
Renewables,Biogas,1996,4
Renewables,Biogas,1997,4
Renewables,Biogas,1998,4
Renewables,Biogas,1999,4
Renewables,Biogas,2000,4
Renewables,Biogas,2001,4
Renewables,Biogas,2002,4
Renewables,Biogas,2003,9
Renewables,Biogas,2004,10
Renewables,Biogas,2005,10
Renewables,Biogas,2006,11
Renewables,Biogas,2007,9
Renewables,Biogas,2008,9
Renewables,Biogas,2009,12
Renewables,Biogas,2010,12
Renewables,Biogas,2011,14
Renewables,Biogas,2012,13
Renewables,Biogas,2013,11
Renewables,Biogas,2014,13
Renewables,Biogas,2015,14
Renewables,Biogas,2016,15
Renewables,Biogas,2017,16
Renewables,Biogas,2018,15
Renewables,Biogas,2019,16
Renewables,Biogas,2020,18
Renewables,Biogas,2021,19
Renewables,Biogas,2022,20
Renewables,Biomass,1990,105
Renewables,Biomass,1991,101
Renewables,Biomass,1992,89
Renewables,Biomass,1993,90
Renewables,Biomass,1994,91
Renewables,Biomass,1995,89
Renewables,Biomass,1996,95
Renewables,Biomass,1997,92
Renewables,Biomass,1998,112
Renewables,Biomass,1999,105
Renewables,Biomass,2000,113
Renewables,Biomass,2001,125
Renewables,Biomass,2002,125
Renewables,Biomass,2003,119
Renewables,Biomass,2004,139
Renewables,Biomass,2005,176
Renewables,Biomass,2006,182
Renewables,Biomass,2007,186
Renewables,Biomass,2008,181
Renewables,Biomass,2009,186
Renewables,Biomass,2010,192
Renewables,Biomass,2011,180
Renewables,Biomass,2012,176
Renewables,Biomass,2013,194
Renewables,Biomass,2014,224
Renewables,Biomass,2015,211
Renewables,Biomass,2016,218
Renewables,Biomass,2017,219
Renewables,Biomass,2018,220
Renewables,Biomass,2019,199
Renewables,Biomass,2020,196
Renewables,Biomass,2021,189
Renewables,Biomass,2022,196
Renewables,Renewable Waste,1990,0
Renewables,Renewable Waste,1991,0
Renewables,Renewable Waste,1992,0
Renewables,Renewable Waste,1993,0
Renewables,Renewable Waste,1994,0
Renewables,Renewable Waste,1995,0
Renewables,Renewable Waste,1996,0
Renewables,Renewable Waste,1997,0
Renewables,Renewable Waste,1998,0
Renewables,Renewable Waste,1999,0
Renewables,Renewable Waste,2000,0
Renewables,Renewable Waste,2001,0
Renewables,Renewable Waste,2002,0
Renewables,Renewable Waste,2003,0
Renewables,Renewable Waste,2004,0
Renewables,Renewable Waste,2005,0
Renewables,Renewable Waste,2006,0
Renewables,Renewable Waste,2007,0
Renewables,Renewable Waste,2008,0
Renewables,Renewable Waste,2009,5
Renewables,Renewable Waste,2010,6
Renewables,Renewable Waste,2011,11
Renewables,Renewable Waste,2012,20
Renewables,Renewable Waste,2013,23
Renewables,Renewable Waste,2014,26
Renewables,Renewable Waste,2015,31
Renewables,Renewable Waste,2016,38
Renewables,Renewable Waste,2017,41
Renewables,Renewable Waste,2018,41
Renewables,Renewable Waste,2019,40
Renewables,Renewable Waste,2020,43
Renewables,Renewable Waste,2021,47
Renewables,Renewable Waste,2022,54
Renewables,Solar Photovoltaic,1990,0
Renewables,Solar Photovoltaic,1991,0
Renewables,Solar Photovoltaic,1992,0
Renewables,Solar Photovoltaic,1993,0
Renewables,Solar Photovoltaic,1994,0
Renewables,Solar Photovoltaic,1995,0
Renewables,Solar Photovoltaic,1996,0
Renewables,Solar Photovoltaic,1997,0
Renewables,Solar Photovoltaic,1998,0
Renewables,Solar Photovoltaic,1999,0
Renewables,Solar Photovoltaic,2000,0
Renewables,Solar Photovoltaic,2001,0
Renewables,Solar Photovoltaic,2002,0
Renewables,Solar Photovoltaic,2003,0
Renewables,Solar Photovoltaic,2004,0
Renewables,Solar Photovoltaic,2005,0
Renewables,Solar Photovoltaic,2006,0
Renewables,Solar Photovoltaic,2007,0
Renewables,Solar Photovoltaic,2008,0
Renewables,Solar Photovoltaic,2009,0
Renewables,Solar Photovoltaic,2010,0
Renewables,Solar Photovoltaic,2011,0
Renewables,Solar Photovoltaic,2012,0
Renewables,Solar Photovoltaic,2013,0
Renewables,Solar Photovoltaic,2014,0
Renewables,Solar Photovoltaic,2015,0
Renewables,Solar Photovoltaic,2016,0
Renewables,Solar Photovoltaic,2017,0
Renewables,Solar Photovoltaic,2018,0
Renewables,Solar Photovoltaic,2019,0
Renewables,Solar Photovoltaic,2020,0
Renewables,Solar Photovoltaic,2021,0
Renewables,Solar Photovoltaic,2022,0
Renewables,Solar Thermal,1990,0
Renewables,Solar Thermal,1991,0
Renewables,Solar Thermal,1992,0
Renewables,Solar Thermal,1993,0
Renewables,Solar Thermal,1994,0
Renewables,Solar Thermal,1995,0
Renewables,Solar Thermal,1996,0
Renewables,Solar Thermal,1997,0
Renewables,Solar Thermal,1998,0
Renewables,Solar Thermal,1999,0
Renewables,Solar Thermal,2000,0
Renewables,Solar Thermal,2001,0
Renewables,Solar Thermal,2002,0
Renewables,Solar Thermal,2003,0
Renewables,Solar Thermal,2004,0
Renewables,Solar Thermal,2005,0
Renewables,Solar Thermal,2006,1
Renewables,Solar Thermal,2007,1
Renewables,Solar Thermal,2008,3
Renewables,Solar Thermal,2009,5
Renewables,Solar Thermal,2010,8
Renewables,Solar Thermal,2011,9
Renewables,Solar Thermal,2012,10
Renewables,Solar Thermal,2013,10
Renewables,Solar Thermal,2014,11
Renewables,Solar Thermal,2015,12
Renewables,Solar Thermal,2016,12
Renewables,Solar Thermal,2017,13
Renewables,Solar Thermal,2018,14
Renewables,Solar Thermal,2019,14
Renewables,Solar Thermal,2020,14
Renewables,Solar Thermal,2021,14
Renewables,Solar Thermal,2022,14
