"Statistic Label","Fuel Type","Year","UNIT","VALUE"
"Primary Energy Production (ktoe)","Sum of all peat products","1998","ktoe","822"
"Primary Energy Production (ktoe)","Sum of all peat products","1999","ktoe","1135"
"Primary Energy Production (ktoe)","Sum of all peat products","2000","ktoe","965"
"Primary Energy Production (ktoe)","Sum of all peat products","2001","ktoe","883"
"Primary Energy Production (ktoe)","Sum of all peat products","2002","ktoe","606"
"Primary Energy Production (ktoe)","Sum of all peat products","2003","ktoe","1056"
"Primary Energy Production (ktoe)","Sum of all peat products","2004","ktoe","906"
"Primary Energy Production (ktoe)","Sum of all peat products","2005","ktoe","845"
"Primary Energy Production (ktoe)","Sum of all peat products","2006","ktoe","826"
"Primary Energy Production (ktoe)","Sum of all peat products","2007","ktoe","643"
"Primary Energy Production (ktoe)","Sum of all peat products","2008","ktoe","660"
"Primary Energy Production (ktoe)","Sum of all peat products","2009","ktoe","578"
"Primary Energy Production (ktoe)","Sum of all peat products","2010","ktoe","1011"
"Primary Energy Production (ktoe)","Sum of all peat products","2011","ktoe","774"
"Primary Energy Production (ktoe)","Sum of all peat products","2012","ktoe","321"
"Primary Energy Production (ktoe)","Sum of all peat products","2013","ktoe","1327"
"Primary Energy Production (ktoe)","Sum of all peat products","2014","ktoe","982"
"Primary Energy Production (ktoe)","Sum of all peat products","2015","ktoe","769"
"Primary Energy Production (ktoe)","Sum of all peat products","2016","ktoe","679"
"Primary Energy Production (ktoe)","Sum of all peat products","2017","ktoe","744"
"Primary Energy Production (ktoe)","Sum of all peat products","2018","ktoe","816"
"Primary Energy Production (ktoe)","Sum of all peat products","2019","ktoe","391"
"Primary Energy Production (ktoe)","Sum of all peat products","2020","ktoe","128"
"Primary Energy Production (ktoe)","Sum of all peat products","2021","ktoe","128"
"Primary Energy Production (ktoe)","Sum of all peat products","2022","ktoe","128"
"Primary Energy Production (ktoe)","Natural gas","1990","ktoe","1877"
"Primary Energy Production (ktoe)","Natural gas","1991","ktoe","1923"
"Primary Energy Production (ktoe)","Natural gas","1992","ktoe","1902"
"Primary Energy Production (ktoe)","Natural gas","1993","ktoe","2161"
"Primary Energy Production (ktoe)","Natural gas","1994","ktoe","2198"
"Primary Energy Production (ktoe)","Natural gas","1995","ktoe","2253"
"Primary Energy Production (ktoe)","Natural gas","1996","ktoe","2172"
"Primary Energy Production (ktoe)","Natural gas","1997","ktoe","1910"
"Primary Energy Production (ktoe)","Natural gas","1998","ktoe","1410"
"Primary Energy Production (ktoe)","Natural gas","1999","ktoe","1106"
"Primary Energy Production (ktoe)","Natural gas","2000","ktoe","960"
"Primary Energy Production (ktoe)","Natural gas","2001","ktoe","660"
"Primary Energy Production (ktoe)","Natural gas","2002","ktoe","679"
"Primary Energy Production (ktoe)","Natural gas","2003","ktoe","545"
"Primary Energy Production (ktoe)","Natural gas","2004","ktoe","690"
"Primary Energy Production (ktoe)","Natural gas","2005","ktoe","488"
"Primary Energy Production (ktoe)","Natural gas","2006","ktoe","432"
"Primary Energy Production (ktoe)","Natural gas","2007","ktoe","322"
"Primary Energy Production (ktoe)","Natural gas","2008","ktoe","368"
"Primary Energy Production (ktoe)","Natural gas","2009","ktoe","255"
"Primary Energy Production (ktoe)","Natural gas","2010","ktoe","237"
"Primary Energy Production (ktoe)","Natural gas","2011","ktoe","197"
"Primary Energy Production (ktoe)","Natural gas","2012","ktoe","181"
"Primary Energy Production (ktoe)","Natural gas","2013","ktoe","164"
"Primary Energy Production (ktoe)","Natural gas","2014","ktoe","132"
"Primary Energy Production (ktoe)","Natural gas","2015","ktoe","113"
"Primary Energy Production (ktoe)","Natural gas","2016","ktoe","2493"
"Primary Energy Production (ktoe)","Natural gas","2017","ktoe","2854"
"Primary Energy Production (ktoe)","Natural gas","2018","ktoe","2752"
"Primary Energy Production (ktoe)","Natural gas","2019","ktoe","2147"
"Primary Energy Production (ktoe)","Natural gas","2020","ktoe","1654"
"Primary Energy Production (ktoe)","Natural gas","2021","ktoe","1258"
"Primary Energy Production (ktoe)","Natural gas","2022","ktoe","1165"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1990","ktoe","168"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1991","ktoe","168"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1992","ktoe","162"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1993","ktoe","161"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1994","ktoe","174"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1995","ktoe","155"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1996","ktoe","169"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1997","ktoe","181"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1998","ktoe","231"
"Primary Energy Production (ktoe)","Sum of all renewable energies","1999","ktoe","222"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2000","ktoe","235"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2001","ktoe","234"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2002","ktoe","261"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2003","ktoe","236"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2004","ktoe","284"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2005","ktoe","370"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2006","ktoe","428"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2007","ktoe","469"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2008","ktoe","544"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2009","ktoe","618"
"Primary Energy Production (ktoe)","Sum of all renewable energies","2010","ktoe","597"
