"Statistic Label","Fuel Type","Year","UNIT","VALUE"
"Primary Energy Production (ktoe)","Geothermal","1997","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","1998","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","1999","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","2000","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","2001","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","2002","ktoe","0"
"Primary Energy Production (ktoe)","Geothermal","2003","ktoe","1"
"Primary Energy Production (ktoe)","Geothermal","2004","ktoe","2"
"Primary Energy Production (ktoe)","Geothermal","2005","ktoe","4"
"Primary Energy Production (ktoe)","Geothermal","2006","ktoe","7"
"Primary Energy Production (ktoe)","Geothermal","2007","ktoe","10"
"Primary Energy Production (ktoe)","Geothermal","2008","ktoe","13"
"Primary Energy Production (ktoe)","Geothermal","2009","ktoe","14"
"Primary Energy Production (ktoe)","Geothermal","2010","ktoe","16"
"Primary Energy Production (ktoe)","Geothermal","2011","ktoe","17"
"Primary Energy Production (ktoe)","Geothermal","2012","ktoe","19"
"Primary Energy Production (ktoe)","Geothermal","2013","ktoe","20"
"Primary Energy Production (ktoe)","Geothermal","2014","ktoe","23"
"Primary Energy Production (ktoe)","Geothermal","2015","ktoe","27"
"Primary Energy Production (ktoe)","Geothermal","2016","ktoe","32"
"Primary Energy Production (ktoe)","Geothermal","2017","ktoe","39"
"Primary Energy Production (ktoe)","Geothermal","2018","ktoe","44"
"Primary Energy Production (ktoe)","Geothermal","2019","ktoe","54"
"Primary Energy Production (ktoe)","Geothermal","2020","ktoe","66"
"Primary Energy Production (ktoe)","Geothermal","2021","ktoe","79"
"Primary Energy Production (ktoe)","Geothermal","2022","ktoe","100"
"Primary Energy Production (ktoe)","Non renewable waste","1990","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","1991","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","1992","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","1993","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","1994","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","1995","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","1996","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","1997","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","1998","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","1999","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2000","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2001","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2002","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2003","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2004","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2005","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2006","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2007","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2008","ktoe","-"
"Primary Energy Production (ktoe)","Non renewable waste","2009","ktoe","13"
"Primary Energy Production (ktoe)","Non renewable waste","2010","ktoe","9"
"Primary Energy Production (ktoe)","Non renewable waste","2011","ktoe","14"
"Primary Energy Production (ktoe)","Non renewable waste","2012","ktoe","46"
"Primary Energy Production (ktoe)","Non renewable waste","2013","ktoe","61"
"Primary Energy Production (ktoe)","Non renewable waste","2014","ktoe","66"
"Primary Energy Production (ktoe)","Non renewable waste","2015","ktoe","69"
"Primary Energy Production (ktoe)","Non renewable waste","2016","ktoe","67"
"Primary Energy Production (ktoe)","Non renewable waste","2017","ktoe","113"
"Primary Energy Production (ktoe)","Non renewable waste","2018","ktoe","145"
"Primary Energy Production (ktoe)","Non renewable waste","2019","ktoe","145"
"Primary Energy Production (ktoe)","Non renewable waste","2020","ktoe","147"
"Primary Energy Production (ktoe)","Non renewable waste","2021","ktoe","143"
"Primary Energy Production (ktoe)","Non renewable waste","2022","ktoe","148"
